feature_0,feature_3,feature_10,feature_40,feature_68,feature_70,feature_86,feature_89,feature_95,feature_100,feature_113,feature_123,feature_143,feature_150,feature_168,feature_187,feature_213,feature_242,feature_244,feature_251,feature_252,feature_268,feature_289,feature_291,feature_294,feature_296,feature_300,feature_323,feature_332,feature_335,feature_377,feature_428,feature_437,feature_438,feature_469
1,3,3,11,109,24,3,3,20,2,0,2,1,7,0,2,0,18,23,26,25,0,5,3,61,133,22,12,29,3,4,31,20,0,10
3,6,90,47,36312,514,7099,6,1050,2,0,5,1,9,0,3,0,1124,72,3717,1111,0,17,6,406,307,258,52,4157,428,2,255,85,0,46
2,4,4,40,523,66,67,12,32,2,0,1,1,8,0,3,1,74,45,35,76,0,12,4,163,217,90,43,72,92,10,235,62,0,20
1,4,11,60,9865,137,1710,12,170,2,0,1,1,10,0,1,0,1077,134,236,1080,0,4,4,324,473,239,221,489,2182,2,733,115,1,197
3,11,4,26,373,72,46,7,22,2,0,3,2,11,0,5,1,56,48,42,72,0,7,12,128,248,60,28,71,17,6,91,38,0,25
0,0,1,3,32,18,3,0,5,2,0,0,0,6,0,1,0,9,32,4,22,0,3,0,37,45,4,3,16,0,1,0,15,0,3
0,2,2,13,110,18,3,12,5,2,0,1,0,6,0,1,0,10,29,13,24,0,3,2,129,130,99,61,16,0,1,148,35,0,5
7,6,34,362,738,355,98,5,1531,2,1,2,2,9,0,1,2,107,62,993,105,0,4,6,240,350,172,426,104,111,1,127,570,1,78
0,0,1,3,15,18,3,0,5,2,0,0,0,6,0,1,0,9,15,4,21,0,3,0,32,32,2,1,16,0,1,0,15,0,4
2,7,6,51,1288,69,534,7,51,2,0,5,1,12,0,3,1,76,51,45,85,0,24,9,131,247,63,29,233,754,370,117,47,0,65
3,8,13,79,1643,108,584,7,148,2,0,5,1,8,0,5,1,137,70,149,140,0,25,10,167,210,101,97,257,854,363,212,73,1,68
2,4,9,48,2033,82,393,4,225,2,0,2,1,9,0,4,1,240,60,105,238,0,10,4,173,311,60,66,156,322,1,109,59,1,96
5,5,6,75,755,228,88,20,50,2,0,12,4,9,0,5,1,92,75,58,100,0,25,7,259,259,144,50,85,88,14,253,77,0,45
6,3,3,11,615,65,45,4,10,2,1,2,2,12,0,2,2,58,55,174,67,0,7,3,114,238,40,18,54,34,3,107,27,0,23
0,0,1,3,17,18,3,0,5,2,0,0,0,4,0,1,0,9,16,3,19,0,3,0,32,36,2,1,16,0,1,0,11,0,4
0,0,1,3,53,18,3,0,5,2,0,0,0,6,0,1,0,10,20,4,23,0,3,0,47,42,17,14,16,0,1,32,15,0,8
2,5,25,115,1854,226,149,14,415,6,0,0,2,13,0,3,0,130,154,349,136,0,32,6,456,669,260,217,204,194,1,527,157,2,224
3,7,7,53,1383,96,541,9,26,2,0,5,1,9,0,7,1,114,81,22,115,0,27,9,185,199,98,49,244,791,364,145,42,0,112
0,2,2,3,15,18,3,0,5,2,0,0,0,4,0,1,0,9,15,3,19,0,3,2,32,35,2,1,16,0,1,0,11,0,13
10,10,4,96,1264,174,214,8,65,7,2,0,2,9,0,1,2,182,70,78,203,0,32,14,315,537,107,37,335,249,9,200,71,3,59
7,8,17,136,615,209,165,17,321,8,0,5,5,12,0,7,2,145,132,276,177,0,64,11,360,601,157,110,234,48,5,178,248,2,100
3,10,11,116,17182,1102,3463,18,236,2,0,7,2,37,0,6,1,1848,137,1521,1811,0,48,12,680,514,330,352,3001,1686,5,2045,144,0,1370
1,7,6,27,4888,607,896,3,89,2,0,3,0,10,0,4,1,405,50,324,366,0,16,7,219,299,62,24,1403,53,1,126,41,0,42
4,10,6,47,11680,764,2182,3,223,2,0,3,3,11,0,6,1,884,48,840,865,0,27,15,249,339,83,11,2087,29,3,48,63,0,86
0,0,1,3,29,18,3,0,5,2,0,0,0,4,0,1,0,9,28,3,19,0,3,0,32,40,2,1,16,0,1,0,11,0,4
6,6,6,74,1278,249,182,21,128,2,0,11,5,15,0,6,1,133,70,114,141,0,28,8,293,411,138,48,196,81,14,278,65,0,49
2,4,4,41,389,61,47,8,31,2,0,1,1,8,0,2,1,52,42,36,58,0,13,4,127,199,57,22,57,57,10,191,52,0,18
8,4,5,80,2111,295,436,37,104,2,0,2,6,11,0,5,0,273,123,60,285,0,16,6,341,363,187,47,201,312,9,266,137,2,91
3,6,8,55,982,80,135,7,152,2,0,2,1,9,0,4,1,98,60,79,104,0,19,6,176,300,64,44,103,72,7,167,58,1,36
2,5,29,131,16144,244,3438,11,501,10,0,0,2,9,0,1,0,1928,116,382,1950,0,55,6,311,467,125,116,840,4894,361,152,192,2,158
11,9,62,220,90834,2352,19546,44,958,2,0,15,3,19,0,20,2,12263,507,3008,12179,0,107,13,916,592,663,350,8338,1805,5,1523,320,1,429
2,4,4,29,147,37,18,6,15,2,0,1,1,7,0,2,1,25,24,18,34,0,13,4,86,152,47,24,46,6,7,62,34,0,7
0,0,1,7,11017,49,2644,2,8,2,0,0,0,8,0,1,0,1428,27,393,1438,0,3,0,148,155,87,65,669,3282,361,307,18,0,20
2,4,4,30,614,58,84,8,23,2,0,1,1,8,0,2,1,91,38,33,100,0,10,4,157,222,87,52,55,58,8,195,40,0,17
5646,7,18,148,89043,1663,6131,24,563,6,0,2,5645,5691,0,5660,0,4278,224,32055,4246,0,51,9,679,1132,263,109,4212,2671,1,299,235,3,585
1,3,3,6,79,26,3,1,25,2,0,1,1,7,0,2,0,18,19,26,25,0,4,3,51,121,12,8,32,4,5,9,17,0,6
3,6,6,33,1283,85,248,8,127,2,0,8,1,12,0,3,0,188,175,82,196,0,11,6,214,294,93,62,133,59,3,194,67,1,60
3,14,3,44,302,71,31,8,31,2,0,1,1,12,0,2,2,43,41,48,54,0,6,17,153,223,84,41,68,22,4,163,68,2,55
0,0,3,13,15,26,3,0,51,2,0,0,0,4,0,1,0,9,15,41,19,0,3,0,32,46,2,14,17,0,0,0,24,1,4
12,12,15,115,1884,238,193,19,244,6,2,10,7,36,0,11,1,160,67,1270,181,0,73,16,529,942,214,68,264,39,2,142,120,3,240
